TerminalID,ProjectID,ComboID,Wiki,Name,Facility,Country,Status,OtherNames,Parent,StartYear1,StartYear2,StartYear3,StopYear,Capacity,CapacityUnits,CapacityInMtpa,Region,Location,Prefecture/District,State/Province,Latitude,Longitude,Accuracy,FID,FIDYear,Floating
T0494,1,T049401,https://www.gem.wiki/Hammerfest_LNG_Snohvit_Terminal,Hammerfest LNG Snohvit Terminal,Export,Norway,Idle,Snohvit Melkoa LNG Terminal,Equinor (18.4%); Petoro (30%); Total S.A. (18.4%); Engie (12%); Hess Corporation (3.26%); RWE AG (2.81%),2007,,,,4.2,mtpa,4.2,Europe,Melkoa Island,Hammerfest,Finnmark,70.6854,23.59,exact,,,
T0496,1,T049601,https://www.gem.wiki/Nordic_Skangas_LNG_Terminal,Nordic Gasum LNG Terminal,Export,Norway,Operating,Risavika LNG Terminal,Gasum,2011,,,,0.3,mtpa,0.3,Europe,Port of Risavika,Sola,Rogaland,58.9237,5.5761,exact,,,
T0498,0,T049800,https://www.gem.wiki/%c5%9awinouj%c5%9bcie_Polskie_LNG_Terminal,?winouj?cie Polskie LNG Terminal,Import,Poland,Operating,,PGNiG,2016,,,,5,bcm/y,3.676470931,Europe,?winouj?cie,?winouj?cie,Wojew�dztwo,53.909167,14.294722,exact,FID,,
T0498,1,T049801,https://www.gem.wiki/%c5%9awinouj%c5%9bcie_Polskie_LNG_Terminal,?winouj?cie Polskie LNG Terminal Expansion,Import,Poland,Construction,,PGNiG,2021,,,,2.5,bcm/y,1.838235466,Europe,?winouj?cie,?winouj?cie,Wojew�dztwo,53.909167,14.294722,exact,FID,,
T0498,2,T049802,https://www.gem.wiki/%c5%9awinouj%c5%9bcie_Polskie_LNG_Terminal,?winouj?cie Polskie LNG Terminal Expansion 2,Import,Poland,Construction,,PGNiG,2023,,,,0.8,bcm/y,0.588235349,Europe,?winouj?cie,?winouj?cie,Wojew�dztwo,53.909167,14.294722,exact,FID,,
T0500,0,T050000,https://www.gem.wiki/Sines_LNG_Terminal,Sines LNG Terminal,Import,Portugal,Operating,,REN Atlantico (100%),2004,,,,5.8,mtpa,5.8,Europe,Sines,Set�bal,Alentejo,37.9419,-8.8435,exact,,,
T0502,0,T050200,https://www.gem.wiki/Constanta_LNG_Terminal,Constanta LNG Terminal,Import,Romania,Proposed,Agri LNG Terminal,RomGaz,2027,,,,6,mtpa,6,Europe,Constanta,,Dobruja,44.173333,28.638333,approximate,Pre-FID,,
T0522,0,T052200,https://www.gem.wiki/Barcelona_LNG_Terminal,Barcelona LNG Terminal,Import,Spain,Operating,,Enag�s,1969,,,,12.8,mtpa,12.8,Europe,Barcelona,,Catalonia,41.3394,2.1583,exact,,,
T0524,0,T052400,https://www.gem.wiki/Bilbao_LNG_Terminal,Bilbao LNG Terminal,Import,Spain,Operating,Bahia de Bizkaia Gas Terminal,Enag�s (50%); Basque Energy Board (EVE) (50%),2003,,,,5.1,mtpa,5.1,Europe,Port of Bilbao,Zierbena,Biscay,43.3612,-3.09473,exact,,,
T0526,0,T052600,https://www.gem.wiki/Cartagena_LNG_Terminal_(Spain),Cartagena LNG Terminal (Spain),Import,Spain,Operating,,Enag�s,1989,,,,8.7,mtpa,8.7,Europe,Escombreras Dock,Cartagena,Province of Murcia,37.57457,-0.9595,exact,,,
