Unit name,Unit name local script,Fuel type,Unit type,Country,"Subnational unit (province, state)",Latitude,Longitude,Location accuracy,Status,Status year,Discovery year,Production start year,Operator,Owner,Parent,Basin,Concession / block,Project or complex,GEM Unit ID,Government unit ID,Wiki URL
Kraken North,,oil and gas,field,United Kingdom,,59.9674,1.2735,exact,operating,2019,2013,2017,Enquest PLC,,,,,,OG0002096,,https://www.gem.wiki/Kraken_North_Oil_and_Gas_Field_(United_Kingdom)
Kyle,,oil and gas,field,United Kingdom,,56.8949,1.2326,exact,operating,2019,1993,2001,CNR International,,,,,,OG0002097,,https://www.gem.wiki/Kyle_Oil_and_Gas_Field_(United_Kingdom)
Laggan,,oil and gas,field,United Kingdom,,60.9464,-2.9287,exact,operating,2019,1986,2016,Total Upstream UK Limited,,,,,,OG0002098,,https://www.gem.wiki/Laggan_Oil_and_Gas_Field_(United_Kingdom)
Lancaster,,oil and gas,field,United Kingdom,,60.1908,-3.829,exact,operating,2019,1974,,Hurricane Energy,,,,,,OG0002100,,https://www.gem.wiki/Lancaster_Oil_and_Gas_Field_(United_Kingdom)
Leman (Perenco),,oil and gas,field,United Kingdom,,53.072,2.2158,exact,operating,2019,,,Perenco Oil & Gas,,,,,Leman,OG0002104,,https://www.gem.wiki/Leman_(Perenco)_Oil_and_Gas_Field_(United_Kingdom)
Leman (Shell),,oil and gas,field,United Kingdom,,53.072,2.2158,exact,operating,2019,,,Royal Dutch Shell,,,,,Leman,OG0002105,,https://www.gem.wiki/Leman_(Shell)_Oil_and_Gas_Field_(United_Kingdom)
Leman South,,oil and gas,field,United Kingdom,,52.9815,2.3111,exact,operating,2019,1968,2012,Perenco Oil & Gas,,,,,,OG0002103,,https://www.gem.wiki/Leman_South_Oil_and_Gas_Field_(United_Kingdom)
Lennox,,oil and gas,field,United Kingdom,,53.632,-3.1707,exact,operating,2019,,,Eni UK Limited,,,,,,OG0002106,,https://www.gem.wiki/Lennox_Oil_and_Gas_Field_(United_Kingdom)
Lochranza,,oil and gas,field,United Kingdom,,58.3655,0.9641,exact,operating,2019,1992,2010,Total Upstream UK Limited,,,,,,OG0002110,,https://www.gem.wiki/Lochranza_Oil_and_Gas_Field_(United_Kingdom)
Lomond,,oil and gas,field,United Kingdom,,57.3204,2.1312,exact,operating,2019,1972,1993,Chrysaor Holdings Limited,,,,,,OG0002112,,https://www.gem.wiki/Lomond_Oil_and_Gas_Field_(United_Kingdom)
Loyal,,oil and gas,field,United Kingdom,,60.4091,-4.0656,exact,operating,2019,,,BP Exploration Operating Company,,,,,Schiehallion,OG0002114,,https://www.gem.wiki/Loyal_Oil_and_Gas_Field_(United_Kingdom)
Machar,,oil and gas,field,United Kingdom,,57.0783,2.086,exact,operating,2019,1976,1994,BP Exploration Operating Company,,,,,,OG0002117,,https://www.gem.wiki/Machar_Oil_and_Gas_Field_(United_Kingdom)
Maclure,,oil and gas,field,United Kingdom,,59.3608,1.6197,exact,operating,2019,1991,2002,Total Upstream UK Limited,,,,,,OG0002118,,https://www.gem.wiki/Maclure_Oil_and_Gas_Field_(United_Kingdom)
Madoes,,oil and gas,field,United Kingdom,,57.1634,1.4242,exact,operating,2019,1997,2002,BP Exploration Operating Company,,,,,,OG0002119,,https://www.gem.wiki/Madoes_Oil_and_Gas_Field_(United_Kingdom)
Magnus,,oil and gas,field,United Kingdom,,61.6237,1.3199,exact,operating,2019,1974,1983,Enquest PLC,Enquest Plc [100%],Enquest PLC [100%],,,,OG0002120,,https://www.gem.wiki/Magnus_Oil_and_Gas_Field_(United_Kingdom)
Maria,,oil and gas,field,United Kingdom,,58.0317,1.7034,exact,operating,2019,1994,2008,Chrysaor Holdings Limited,,,,,,OG0002126,,https://www.gem.wiki/Maria_Oil_and_Gas_Field_(United_Kingdom)
Mariner,,oil and gas,field,United Kingdom,,59.5906,1.0826,exact,operating,2019,1982,,Equinor,Equinor [65.1%]; JX Nippon [20%]; Siccar Point Energy [8.9%]; ONE-Dyas B.V. [6%],Equinor ASA [65.1%]; ENEOS Group [20%]; BlueWater Energy [unknown %]; Blackstone [unknown %]; ONE-Dyas B.V. [6%],,,,OG0002127,,https://www.gem.wiki/Mariner_Oil_and_Gas_Field_(United_Kingdom)
Marnock,,oil and gas,field,United Kingdom,,57.2265,1.6399,exact,operating,2019,,,BP Exploration Operating Company,,,,,Marnock-Skua,OG0002130,,https://www.gem.wiki/Marnock_Oil_and_Gas_Field_(United_Kingdom)
Merganser,,oil and gas,field,United Kingdom,,57.1588,1.9256,exact,operating,2019,1995,2006,Royal Dutch Shell,,,,,,OG0002134,,https://www.gem.wiki/Merganser_Oil_and_Gas_Field_(United_Kingdom)
Minerva,,oil and gas,field,United Kingdom,,53.9474,0.5971,exact,operating,2019,1969,2003,Perenco Oil & Gas,,,,,,OG0002136,,https://www.gem.wiki/Minerva_Oil_and_Gas_Field_(United_Kingdom)
Monan,,oil and gas,field,United Kingdom,,57.356,1.8917,exact,operating,2019,1990,1998,BP Exploration Operating Company,,,,,,OG0002138,,https://www.gem.wiki/Monan_Oil_and_Gas_Field_(United_Kingdom)
Mungo,,oil and gas,field,United Kingdom,,57.3798,1.9994,exact,operating,2019,1989,1998,BP Exploration Operating Company,BP Exploration Operating Company [87.4%]; Zennor CNS Limited [12.6%],BP P.L.C. [87.4%]; Zennor Petroleum Limited [12.6%],,,,OG0002141,,https://www.gem.wiki/Mungo_Oil_and_Gas_Field_(United_Kingdom)
Nelson,,oil and gas,field,United Kingdom,,57.6515,1.1509,exact,operating,2019,1988,1994,Royal Dutch Shell,,,,,,OG0002143,,https://www.gem.wiki/Nelson_Oil_and_Gas_Field_(United_Kingdom)
Nevis,,oil and gas,field,United Kingdom,,59.5505,1.4029,exact,operating,2019,1974,1996,Apache Corporation,,,,,,OG0002148,,https://www.gem.wiki/Nevis_Oil_and_Gas_Field_(United_Kingdom)
Ninian,,oil and gas,field,United Kingdom,,60.8364,1.4398,exact,operating,2019,,,CNR International,,,,,,OG0002152,,https://www.gem.wiki/Ninian_Oil_and_Gas_Field_(United_Kingdom)
North Morecambe,,oil and gas,field,United Kingdom,,53.962,-3.6756,exact,operating,2019,1976,1994,Spirit Energy,,,,,,OG0002154,,https://www.gem.wiki/North_Morecambe_Oil_and_Gas_Field_(United_Kingdom)
Orion,,oil and gas,field,United Kingdom,,56.4211,2.503,exact,operating,2019,1985,1999,Repsol Sinopec Resources UK Limited,,,,,,OG0002159,,https://www.gem.wiki/Orion_Oil_and_Gas_Field_(United_Kingdom)
Orlando,,oil and gas,field,United Kingdom,,60.9565,1.5392,exact,operating,2019,1989,2017,Decipher Energy,,,,,,OG0002160,,https://www.gem.wiki/Orlando_Oil_and_Gas_Field_(United_Kingdom)
Otter,,oil and gas,field,United Kingdom,,61.5134,0.9477,exact,operating,2019,1977,2002,TAQA Europa B.V.,,,,,,OG0002161,,https://www.gem.wiki/Otter_Oil_and_Gas_Field_(United_Kingdom)
Pelican,,oil and gas,field,United Kingdom,,61.0498,1.1145,exact,operating,2019,1975,1996,TAQA Europa B.V.,,,,,,OG0002163,,https://www.gem.wiki/Pelican_Oil_and_Gas_Field_(United_Kingdom)
Penguin East,,oil and gas,field,United Kingdom,,61.5716,1.6086,exact,operating,2019,1975,2003,Royal Dutch Shell,,,,,,OG0002164,,https://www.gem.wiki/Penguin_East_Oil_and_Gas_Field_(United_Kingdom)
Penguin West,,oil and gas,field,United Kingdom,,61.625,1.485,exact,operating,2019,1975,2003,Royal Dutch Shell,,,,,,OG0002165,,https://www.gem.wiki/Penguin_West_Oil_and_Gas_Field_(United_Kingdom)
Peregrine,,oil and gas,field,United Kingdom,,57.9135,-0.8982,exact,operating,2019,2008,2015,CNOOC Limited,,,,,,OG0002167,,https://www.gem.wiki/Peregrine_Oil_and_Gas_Field_(United_Kingdom)
Pierce,,oil and gas,field,United Kingdom,,57.1626,2.2669,exact,operating,2019,1975,1999,Shell,Shell [92.5%]; Ithaca Energy [7.5%],Royal Dutch Shell [92.5%]; Delek Group Limited [7.5%],,,,OG0002171,,https://www.gem.wiki/Pierce_Oil_and_Gas_Field_(United_Kingdom)
Piper,,oil and gas,field,United Kingdom,,58.4631,0.2524,exact,operating,2019,1973,1976,Repsol Sinopec Resources UK Limited,,,,,,OG0002172,,https://www.gem.wiki/Piper_Oil_and_Gas_Field_(United_Kingdom)
Ravenspurn N,,oil and gas,field,United Kingdom,,54.0637,0.957,exact,operating,2019,,,Perenco Oil & Gas,,,,,Ravenspurn,OG0002173,,https://www.gem.wiki/Ravenspurn_N_Oil_and_Gas_Field_(United_Kingdom)
Ravenspurn S,,oil and gas,field,United Kingdom,,54.0564,0.8974,exact,operating,2019,,,Perenco Oil & Gas,,,,,Ravenspurn,OG0002174,,https://www.gem.wiki/Ravenspurn_S_Oil_and_Gas_Field_(United_Kingdom)
Rhum,,oil and gas,field,United Kingdom,,60.1304,1.7391,exact,operating,2019,,2005,Serica Energy PLC,Serica Energy PLC [50%]; IOC (UK) Limited [50%],Serica Energy PLC [50%]; Iranian Oil Company (UK) Ltd [50%],,,BKR,OG0002176,,https://www.gem.wiki/Rhum_Oil_and_Gas_Field_(United_Kingdom)
Rhyl,,oil and gas,field,United Kingdom,,54.0674,-3.6905,exact,operating,2019,2009,2013,Spirit Energy,,,,,,OG0002177,,https://www.gem.wiki/Rhyl_Oil_and_Gas_Field_(United_Kingdom)
Rough,,oil and gas,field,United Kingdom,,53.8299,0.4622,exact,operating,2019,1968,1985,Centrica Storage Holdings,,,,,,OG0002181,,https://www.gem.wiki/Rough_Oil_and_Gas_Field_(United_Kingdom)
Scapa,,oil and gas,field,United Kingdom,,58.4264,-0.3317,exact,operating,2019,1975,1985,Repsol Sinopec Resources UK Limited,,,,,,OG0002187,,https://www.gem.wiki/Scapa_Oil_and_Gas_Field_(United_Kingdom)
Schiehallion,,oil and gas,field,United Kingdom,,60.3554,-4.0774,exact,operating,2019,1993,1998,BP Exploration Operating Company,BP [33%]; Royal Dutch Shell [45%]; Siccar Point Energy [12%]; Chrysaor Holdings Limited [10%],BP P.L.C. [33%]; Royal Dutch Shell [45%]; BlueWater Energy [unknown %]; Blackstone [unknown %]; Harbour Energy PLC [10%],,,,OG0002188,,https://www.gem.wiki/Schiehallion_Oil_and_Gas_Field_(United_Kingdom)
Scoter,,oil and gas,field,United Kingdom,,57.1372,1.9572,exact,operating,2019,,,Royal Dutch Shell,,,,,,OG0002191,,https://www.gem.wiki/Scoter_Oil_and_Gas_Field_(United_Kingdom)
Scott,,oil and gas,field,United Kingdom,,58.2752,0.2217,exact,operating,2019,1984,1993,CNOOC Limited,,,,,,OG0002192,,https://www.gem.wiki/Scott_Oil_and_Gas_Field_(United_Kingdom)
Shaw,,oil and gas,field,United Kingdom,,57.2949,1.3652,exact,operating,2019,2009,2017,Repsol Sinopec Resources UK Limited,Repsol Sinopec Resources UK Limited [59%]; Marubeni Oil & Gas (U.K.) Limited [41%],Repsol SA [30.1%]; SINOPEC [28.9%]; Marubeni Corporation [41%],,,,OG0002196,,https://www.gem.wiki/Shaw_Oil_and_Gas_Field_(United_Kingdom)
Shearwater,,oil and gas,field,United Kingdom,,57.0379,1.9449,exact,operating,2019,1988,2000,Shell,Shell [28%]; ExxonMobil [44.5%]; BP [27.5%],Royal Dutch Shell [28%]; ExxonMobil Corporation [44.5%]; BP P.L.C. [27.5%],,,,OG0002197,,https://www.gem.wiki/Shearwater_Oil_and_Gas_Field_(United_Kingdom)
Solan,,oil and gas,field,United Kingdom,,60.0549,-3.9436,exact,operating,2019,1992,2016,Premier Oil PLC,,,,,,OG0002201,,https://www.gem.wiki/Solan_Oil_and_Gas_Field_(United_Kingdom)
Solitaire,,oil and gas,field,United Kingdom,,58.0032,-0.8663,exact,operating,2019,2001,2015,CNOOC Limited,,,,,,OG0002202,,https://www.gem.wiki/Solitaire_Oil_and_Gas_Field_(United_Kingdom)
South Cormorant,,oil and gas,field,United Kingdom,,61.1047,1.0347,exact,operating,2019,1972,1979,TAQA Europa B.V.,,,,,,OG0002203,,https://www.gem.wiki/South_Cormorant_Oil_and_Gas_Field_(United_Kingdom)
South Morecambe,,oil and gas,field,United Kingdom,,53.8635,-3.6051,exact,operating,2019,1974,1985,Spirit Energy,,,,,,OG0002205,,https://www.gem.wiki/South_Morecambe_Oil_and_Gas_Field_(United_Kingdom)
South Sean,,oil and gas,field,United Kingdom,,53.187,2.8271,exact,operating,2019,1970,1986,ONE-Dyas B.V.,,,,,,OG0002206,,https://www.gem.wiki/South_Sean_Oil_and_Gas_Field_(United_Kingdom)
Starling,,oil and gas,field,United Kingdom,,56.9457,1.432,exact,operating,2019,1979,2009,Royal Dutch Shell,,,,,,OG0002208,,https://www.gem.wiki/Starling_Oil_and_Gas_Field_(United_Kingdom)
Statfjord,,oil and gas,field,United Kingdom,,61.2729,1.8801,exact,operating,2019,1975,1979,Spirit Energy,,,,,,OG0002209,,https://www.gem.wiki/Statfjord_Oil_and_Gas_Field_(United_Kingdom)
Stella,,oil and gas,field,United Kingdom,,56.8052,2.0773,exact,operating,2019,1984,2017,Ithaca Energy,,,,,,OG0002210,,https://www.gem.wiki/Stella_Oil_and_Gas_Field_(United_Kingdom)
Storr,,oil and gas,field,United Kingdom,,59.3697,1.6741,exact,operating,2019,,,Apache Corporation,,,,,,OG0002213,,https://www.gem.wiki/Storr_Oil_and_Gas_Field_(United_Kingdom)
Strathspey,,oil and gas,field,United Kingdom,,60.9399,1.7013,exact,operating,2019,,,CNR International,,,,,,OG0002215,,https://www.gem.wiki/Strathspey_Oil_and_Gas_Field_(United_Kingdom)
Tartan,,oil and gas,field,United Kingdom,,58.3735,0.0689,exact,operating,2019,1975,1981,Repsol Sinopec Resources UK Limited,,,,,,OG0002217,,https://www.gem.wiki/Tartan_Oil_and_Gas_Field_(United_Kingdom)
Telford,,oil and gas,field,United Kingdom,,58.221,0.2601,exact,operating,2019,1992,1996,CNOOC Limited,,,,,,OG0002220,,https://www.gem.wiki/Telford_Oil_and_Gas_Field_(United_Kingdom)
Tern,,oil and gas,field,United Kingdom,,61.2815,0.92,exact,operating,2019,1975,1989,TAQA Europa B.V.,,,,,,OG0002221,,https://www.gem.wiki/Tern_Oil_and_Gas_Field_(United_Kingdom)
Thelma,,oil and gas,field,United Kingdom,,58.3735,1.3128,exact,operating,2019,1976,1996,CNR International,,,,,,OG0002222,,https://www.gem.wiki/Thelma_Oil_and_Gas_Field_(United_Kingdom)
Thistle,,oil and gas,field,United Kingdom,,61.3708,1.5654,exact,operating,2019,1973,1978,Enquest PLC,,,,,,OG0002223,,https://www.gem.wiki/Thistle_Oil_and_Gas_Field_(United_Kingdom)
Tiffany,,oil and gas,field,United Kingdom,,58.482,1.2718,exact,operating,2019,1979,1993,CNR International,,,,,,OG0002224,,https://www.gem.wiki/Tiffany_Oil_and_Gas_Field_(United_Kingdom)
Toni,,oil and gas,field,United Kingdom,,58.4294,1.2958,exact,operating,2019,1977,1993,CNR International,,,,,,OG0002227,,https://www.gem.wiki/Toni_Oil_and_Gas_Field_(United_Kingdom)
Tormore,,oil and gas,field,United Kingdom,,60.8767,-3.167,exact,operating,2019,2007,2016,Total Upstream UK Limited,,,,,,OG0002230,,https://www.gem.wiki/Tormore_Oil_and_Gas_Field_(United_Kingdom)
Tullich,,oil and gas,field,United Kingdom,,59.2893,1.5325,exact,operating,2019,,,Total Upstream UK Limited,,,,,,OG0002233,,https://www.gem.wiki/Tullich_Oil_and_Gas_Field_(United_Kingdom)
Tweedsmuir South,,oil and gas,field,United Kingdom,,57.9535,0.151,exact,operating,2019,2004,2008,Repsol Sinopec Resources UK Limited,,,,,,OG0002235,,https://www.gem.wiki/Tweedsmuir_South_Oil_and_Gas_Field_(United_Kingdom)
Utgard,,oil and gas,field,United Kingdom,,58.3595,1.5267,exact,operating,2019,1983,2019,Equinor,,,,,,OG0002236,,https://www.gem.wiki/Utgard_Oil_and_Gas_Field_(United_Kingdom)
Varadero,,oil and gas,field,United Kingdom,,56.7888,0.7002,exact,operating,2019,2010,2017,Premier Oil PLC,Premier Oil Plc [35%]; other [65%],Harbour Energy plc [35%],,,,OG0002237,,https://www.gem.wiki/Varadero_Oil_and_Gas_Field_(United_Kingdom)
West Brae,,oil and gas,field,United Kingdom,,58.7694,1.1977,exact,operating,2019,1975,1997,Rockrose Energy,,,,,Brae,OG0002244,,https://www.gem.wiki/West_Brae_Oil_and_Gas_Field_(United_Kingdom)
West Franklin,,gas,field,United Kingdom,,,,,operating,2015,2003,2007,,TotalEnergies [46.2%]; Eni S.P.A. [21.9%]; BG Group PLC [14.1%]; E.On E&P [5.2%]; other [12.6%],TotalEnergies [46.2%]; Eni S.P.A. [21.9%]; Royal Dutch Shell [14.1%]; Premier Oil PLC [5.2%],,,Elgin-Franklin,OG0002247,,https://www.gem.wiki/West_Franklin_Gas_Field_(United_Kingdom)
West Sole,,oil and gas,field,United Kingdom,,53.7356,1.113,exact,operating,2019,1965,1967,Perenco Oil & Gas,,,,,,OG0002248,,https://www.gem.wiki/West_Sole_Oil_and_Gas_Field_(United_Kingdom)
Whittle,,oil and gas,field,United Kingdom,,54.1074,0.5407,exact,operating,2019,1990,2002,Perenco Oil & Gas,,,,,,OG0002250,,https://www.gem.wiki/Whittle_Oil_and_Gas_Field_(United_Kingdom)
Wingate,,oil and gas,field,United Kingdom,,54.3068,2.6194,exact,operating,2019,2008,2012,Wintershall B.V.,,,,,,OG0002251,,https://www.gem.wiki/Wingate_Oil_and_Gas_Field_(United_Kingdom)
Wytch Farm,,oil and gas,field,United Kingdom,,50.6798,-1.9497,exact,operating,2019,1973,1979,Perenco Oil & Gas,Perenco Oil & Gas [95%]; other [5%],Perenco S.A. [95%],,,,OG0002253,,https://www.gem.wiki/Wytch_Farm_Oil_and_Gas_Field_(United_Kingdom)
