Unit name,Unit name local script,Fuel type,Unit type,Country,"Subnational unit (province, state)",Latitude,Longitude,Location accuracy,Status,Status year,Discovery year,Production start year,Operator,Owner,Parent,Basin,Concession / block,Project or complex,GEM Unit ID,Government unit ID,Wiki URL
Britannia,,oil and gas,field,United Kingdom,,58.0629,0.9453,exact,operating,2019,,1998,Britannia Operator Limited,Britannia Operator Limited [100%],ConocoPhillips [100%],,,,OG0001922,,https://www.gem.wiki/Britannia_Oil_and_Gas_Field_(United_Kingdom)
Brodgar,,oil and gas,field,United Kingdom,,57.9235,0.4954,exact,operating,2019,1985,2008,Chrysaor Holdings Limited,,,,,,OG0001924,,https://www.gem.wiki/Brodgar_Oil_and_Gas_Field_(United_Kingdom)
Bruce,,oil and gas,field,United Kingdom,,59.744,1.6536,exact,operating,2019,1974,1993,Serica Energy PLC,Serica Energy PLC [98%]; TotalEnergies [1%]; BP [1%],Serica Energy PLC [98%]; TotalEnergies [1%]; BP P.L.C. [1%],,"9/9a, 9/8a, 9/9b",BKR,OG0001927,,https://www.gem.wiki/Bruce_Oil_and_Gas_Field_(United_Kingdom)
Buckland,,oil and gas,field,United Kingdom,,59.4577,1.5623,exact,operating,2019,1979,1999,Apache Corporation,,,,,,OG0001928,,https://www.gem.wiki/Buckland_Oil_and_Gas_Field_(United_Kingdom)
Burgman,,oil and gas,field,United Kingdom,,56.7524,0.6761,exact,operating,2019,2011,2017,Premier Oil PLC,Premier Oil Plc [35%]; other [65%],Harbour Energy plc [35%],,,,OG0001930,,https://www.gem.wiki/Burgman_Oil_and_Gas_Field_(United_Kingdom)
Buzzard,,oil and gas,field,United Kingdom,,57.8331,-0.9463,exact,operating,2019,2001,2007,CNOOC Limited,CNOOC Limited [43%]; Suncor Energy [30%]; Chrysaor Holdings Limited [22%]; ONE-Dyas UK Limited [5%],CNOOC Limited [43%]; Suncor Energy Inc. [30%]; Harbour Energy PLC [22%]; ONE-Dyas B.V. [5%],,,,OG0001931,,https://www.gem.wiki/Buzzard_Oil_and_Gas_Field_(United_Kingdom)
Calder,,oil and gas,field,United Kingdom,,53.8065,-3.6663,exact,operating,2019,1982,2004,Spirit Energy,Chrysaor Holdings Limited [100%],Harbour Energy PLC [100%],,,,OG0001932,,https://www.gem.wiki/Calder_Oil_and_Gas_Field_(United_Kingdom)
Callanish,,oil and gas,field,United Kingdom,,58.0019,0.7378,exact,operating,2019,1999,2008,Chrysaor Holdings Limited,,,,,,OG0001933,,https://www.gem.wiki/Callanish_Oil_and_Gas_Field_(United_Kingdom)
Callater,,oil and gas,field,United Kingdom,,59.4547,1.6293,exact,operating,2019,2017,2017,Apache Corporation,,,,,,OG0001934,,https://www.gem.wiki/Callater_Oil_and_Gas_Field_(United_Kingdom)
Capercaillie,,oil and gas,field,United Kingdom,,60.601,-2.524,exact,discovered,2018,2018,,,BP [100%],BP P.L.C. [100%],,,,OG0001935,,https://www.gem.wiki/Capercaillie_Oil_and_Gas_Field
Captain,,oil and gas,field,United Kingdom,,58.3077,-1.703,exact,operating,2019,1977,1997,Ithaca Energy,Ithaca Energy (UK) Limited [85%]; Dana Petroleum (E&P) Limited [15%],Delek Group Limited [85%]; Korea National Oil Corporation [15%],,,,OG0001936,,https://www.gem.wiki/Captain_Oil_and_Gas_Field_(United_Kingdom)
Carrack,,oil and gas,field,United Kingdom,,53.6047,2.7824,exact,operating,2019,1999,2003,Royal Dutch Shell,,,,,,OG0001939,,https://www.gem.wiki/Carrack_Oil_and_Gas_Field_(United_Kingdom)
Catcher,,oil and gas,field,United Kingdom,,56.8022,0.7663,exact,operating,2019,2010,2017,Harbour Energy,Harbour Energy [50%]; Waldorf Production UK Ltd. [20%]; MOL Group [20%]; ONE-Dyas B.V. [10%],Harbour Energy [50%]; Waldorf Production UK Ltd. [20%]; MOL Group [20%]; ONE-Dyas B.V. [10%],,Block 28/9A,,OG0001940,,https://www.gem.wiki/Catcher_Oil_and_Gas_Field_(United_Kingdom)
Cayley,,oil and gas,field,United Kingdom,,57.4205,1.2258,exact,operating,2019,2007,2017,Repsol Sinopec Resources UK Limited,,,,,,OG0001943,,https://www.gem.wiki/Cayley_Oil_and_Gas_Field_(United_Kingdom)
Chestnut,,oil and gas,field,United Kingdom,,57.9558,1.2257,exact,operating,2019,1986,2008,Spirit Energy,,,,,,OG0001946,,https://www.gem.wiki/Chestnut_Oil_and_Gas_Field_(United_Kingdom)
Chiswick,,oil and gas,field,United Kingdom,,53.9412,2.7246,exact,operating,2019,1984,2007,Spirit Energy,,,,,,OG0001947,,https://www.gem.wiki/Chiswick_Oil_and_Gas_Field_(United_Kingdom)
