ProjectID,Fuel,StartCountry,EndCountry,Countries,Wiki,PipelineName,SegmentName,OtherNames,Parent,Status,StartYear1,StartYear2,StartYear3,StopYear,Capacity,CapacityUnits,CapacityBcm/y,LengthKnownKm,LengthEstimateKm,LengthMergedKm,Diameter,DiameterUnits,Source,StartLocation,StartPrefecture/District,StartState/Province,StartRegion,EndLocation,EndPrefecture/District,EndState/Province,EndRegion,FID,FIDYear,WKTFormat
P2798,Gas,France,France,France,https://gem.wiki/Breheville�Aouste_Gas_Pipeline,Breheville�Aouste Gas Pipeline,,Breheville_unknown_FR_5,GRTgaz,Operating,,,,,,,--,--,87.70554463,87.70554463,,,,Breheville,,,Europe,Aouste,,,Europe,,,"LINESTRING(4.3 49.8, 5.3293 49.3827)"
P2799,Gas,France,France,France,https://gem.wiki/Breheville�Laneuvelotte_Gas_Pipeline,Breheville�Laneuvelotte Gas Pipeline,,Breheville_Laneuvelotte,GRTgaz,Operating,,,,,,,--,--,102.3539339,102.3539339,,,,Breheville,,,Europe,Laneuvelotte,,,Europe,,,"LINESTRING(5.3293 49.3827, 5.4343 49.2978, 5.6108 49.2059, 6.2177 48.7866, 6.2618 48.7314, 6.295 48.7289)"
P2800,Gas,France,France,France,https://gem.wiki/Brest�Donges_Gas_Pipeline,Brest�Donges Gas Pipeline,,Brest_Donges,GRTgaz,Operating,,,,,,,--,--,224.0706627,224.0706627,,,,Donges,,,Europe,Brest,,,Europe,,,"LINESTRING(-2.069 47.332, -2.1376 47.3729, -2.2066 47.3936, -2.291 47.4196, -2.3344 47.4507, -2.3421 47.4697, -2.383 47.4732, -2.4724 47.5043, -2.5108 47.5267, -2.6079 47.5647, -2.6973 47.6026, -2.7357 47.6284, -2.7715 47.6508, -2.8047 47.6594, -2.8507 47.668, -2.8609 47.6766, -2.912 47.6887, -2.9734 47.7093, -3.0168 47.7265, -3.0424 47.7386, -3.0858 47.7575, -3.1472 47.7746, -3.1906 47.7867, -3.2085 47.7987, -3.2494 47.8176, -3.2545 47.8279, -3.2647 47.8381, -3.2939 47.8648, -3.3106 47.8704, -3.3356 47.8788, -3.3522 47.8844, -3.3772 47.8928, -3.3856 47.8928, -3.3981 47.8984, -3.4147 47.9012, -3.4398 47.9095, -3.4648 47.9207, -3.4814 47.9235, -3.4856 47.9235, -3.4981 47.9291, -3.5148 47.9291, -3.5231 47.9319, -3.5356 47.9347, -3.5564 47.9403, -3.5648 47.9403, -3.5856 47.9458, -3.619 47.9542, -3.6273 47.957, -3.6356 47.9598, -3.6565 47.9654, -3.6856 47.971, -3.7106 47.9765, -3.7315 47.9793, -3.769 47.9877, -3.7815 47.9905, -3.7898 48.0016, -3.8065 48.0128, -3.8273 48.0184, -3.8607 48.0323, -3.8732 48.0518, -3.8815 48.0546, -3.8857 48.063, -3.8898 48.0852, -3.894 48.0908, -3.9107 48.1075, -3.919 48.127, -3.9357 48.1409, -3.9565 48.1548, -3.969 48.1603, -3.9774 48.1659, -3.994 48.1742, -4.0065 48.1826, -4.0107 48.1881, -4.019 48.1937, -4.0232 48.1965, -4.0232 48.2145, -4.0991 48.2542, -4.1695 48.2867, -4.2507 48.3083, -4.3645 48.3587, -4.48 48.402)"
P2801,Gas,Slovenia,Slovenia,Slovenia,https://gem.wiki/Brodsk�Plavecky_Peter_Gas_Pipeline,Brodsk�Plavecky Peter Gas Pipeline,,Transgas_15,--,Operating,,,,,,,--,--,27.36077207,27.36077207,35.43309,in,,Brodske,,,Europe,Plavecky Peter,,,Europe,,,"LINESTRING(17.025 48.699, 17.316051 48.546336)"
P2802,Gas,Romania,Romania,Romania,https://gem.wiki/BRUA_Gas_Extra_Pipeline,BRUA Gas Extra Pipeline,,BRUA_Extra_1,SNTGN Transgaz SA,Operating,,,,,1523.4747,MMcf/d,15.75688477,--,44.89748884,44.89748884,38.70456523,in,,Arad,,,Europe,Recas,,,Europe,,,"LINESTRING(21.3106 46.1817, 21.5083 45.802)"
P2807,Gas,Spain,Spain,Spain,https://gem.wiki/Burgos�Valladolid_Gas_Pipeline,Burgos�Valladolid Gas Pipeline,,Burgos_Valladolid,Enag�s,Operating,,,,,,,--,--,95.63346112,95.63346112,,,,Valladolid,,,Europe,Burgos,,,Europe,,,"LINESTRING(-4.72369829 41.65519966, -4.66454501 41.74062639, -4.5589732 41.85293683, -4.36130683 41.92481551, -4.11647009 41.96524726, -3.88511059 42.01241764, -3.75621898 42.0258949)"
P2808,Gas,Italy,Italy,Italy,https://gem.wiki/Calderari_Enna�Gela_Gas_Pipeline,Calderari Enna�Gela Gas Pipeline,,CalderariEnna_Gela,Snam,Operating,,,,,,,--,--,61.93116475,61.93116475,35.9842714,in,,Gela,,,Europe,Calderari Enna,,,Europe,,,"LINESTRING(14.3661 37.5604, 14.3663 37.5074, 14.3774 37.4853, 14.3837 37.4726, 14.3553 37.4584, 14.3521 37.4284, 14.3584 37.4015, 14.3742 37.3778, 14.3869 37.3699, 14.3711 37.3415, 14.3727 37.3083, 14.3663 37.2767, 14.3569 37.2514, 14.3158 37.2213, 14.2894 37.0717, 14.2694 37.0521)"
P2809,Gas,Italy,Italy,Italy,https://gem.wiki/Calderari_Enna�Menfi_Gas_Pipeline,Calderari Enna�Menfi Gas Pipeline,,CalderariEnna_Menfi_1,Snam,Operating,,,,,,,--,--,148.6803993,148.6803993,47.9921519,in,,Menfi,,,Europe,Calderari Enna,,,Europe,,,"LINESTRING(14.3661 37.5604, 14.2866 37.5532, 14.253 37.5096, 14.1893 37.4928, 14.1356 37.4828, 14.0987 37.523, 14.0384 37.5331, 13.978 37.5096, 13.8874 37.4526, 13.8606 37.4257, 13.8069 37.4224, 13.7499 37.4157, 13.6493 37.3908, 13.5866 37.3751, 13.5374 37.3863, 13.3619 37.3724, 13.3565 37.3822, 13.3512 37.3902, 13.3396 37.3938, 13.3226 37.4045, 13.3164 37.4116, 13.3074 37.4134, 13.3003 37.4241, 13.2914 37.4322, 13.2843 37.4366, 13.2709 37.4384, 13.2539 37.4393, 13.2468 37.4393, 13.2405 37.442, 13.2352 37.4482, 13.2316 37.4571, 13.2298 37.4598, 13.2245 37.4768, 13.2263 37.483, 13.2254 37.4893, 13.2191 37.4937, 13.2093 37.4946, 13.1986 37.4937, 13.1933 37.4919, 13.1861 37.4893, 13.1817 37.491, 13.1772 37.4955, 13.1745 37.4964, 13.1727 37.4973, 13.1692 37.4982, 13.1683 37.4982, 13.1629 37.5, 13.1602 37.5, 13.1567 37.5, 13.1522 37.5, 13.1504 37.5, 13.1442 37.5, 13.1415 37.5, 13.1344 37.5044, 13.1317 37.5053, 13.1299 37.5062, 13.1281 37.5062, 13.121 37.5071, 13.1174 37.5071, 13.1139 37.5071, 13.1067 37.5053, 13.1031 37.5053, 13.1005 37.5053, 13.0969 37.5071, 13.0924 37.508, 13.0826 37.5196, 13.0773 37.5205, 13.0719 37.5205, 13.0675 37.5258, 13.0621 37.5303, 13.0594 37.5321, 13.0532 37.5357, 13.0496 37.5374, 13.0441 37.5515, 13.0394 37.5594, 13.0335 37.568, 13.0317 37.5719, 13.0272 37.5755, 13.0227 37.5806, 13.0186 37.5861, 13.0135 37.593, 13.0083 37.5942, 13.0034 37.5963, 12.999 37.5978, 12.9945 37.5988, 12.9802 37.601, 12.9688 37.6023)"
P2810,Gas,Italy,Italy,Italy,https://gem.wiki/Caldonazzo�Bosentino_Gas_Pipeline,Caldonazzo�Bosentino Gas Pipeline,,Caldonazzo_Bosentino,Snam,Operating,,,,,,,--,--,2.995892715,2.995892715,10.0000054,in,,Bosentino,,,Europe,Caldonazzo,,,Europe,,,"LINESTRING(11.2244 46.002, 11.2611 45.9935)"
P2811,Gas,Italy,Italy,Italy,https://gem.wiki/Campagna_Lupia�Ravenna_Terra_Gas_Pipeline,Campagna Lupia�Ravenna Terra Gas Pipeline,,CampagnaLupia_RavennaTerra,Snam,Operating,,,,,,,--,--,24.45357951,24.45357951,22.00001188,in,,Cavarzere,,,Europe,Campagna Lupia,,,Europe,,,"LINESTRING(12.0802 45.1337, 12.0973 45.3534)"
