ProjectID,Fuel,StartCountry,EndCountry,Countries,Wiki,PipelineName,SegmentName,OtherNames,Parent,Status,StartYear1,StartYear2,StartYear3,StopYear,Capacity,CapacityUnits,CapacityBcm/y,LengthKnownKm,LengthEstimateKm,LengthMergedKm,Diameter,DiameterUnits,Source,StartLocation,StartPrefecture/District,StartState/Province,StartRegion,EndLocation,EndPrefecture/District,EndState/Province,EndRegion,FID,FIDYear,WKTFormat
P0439,Gas,Libya,Italy,"Libya, Italy",https://www.gem.wiki/Greenstream_Pipeline,Greenstream Gas Pipeline,,"Melita - Gela Sicily Pipeline, Melita TransGas",Eni S.p.A.; Libyan National Oil Corporation,Operating,2004,,,,1059,MMcf/d,10.95294918,520,522.4720338,520,32,in,,Mellitah Complex,,,Middle East and North Africa,Gela,,,Europe,,,"LINESTRING(12.113564 32.9141632, 12.1708807 33.0166786, 12.8600601 33.8126322, 13.2240632 34.739627, 13.5880664 35.0550965, 13.723961 35.3608592, 13.7917104 35.4443743, 13.7428771 35.8269024, 13.6940437 35.8675969, 13.6994696 36.0466527, 13.9463495 36.2284214, 13.9707662 36.2772547, 13.9951829 36.4535975, 14.0901367 36.6272273, 14.1016139 36.7782295, 14.1612543 36.977031, 14.2642696 37.0493225)"
P0453,Gas,Algeria,Spain,"Algeria, Morocco, Spain",https://www.gem.wiki/Maghreb-Europe_Gas_Pipeline,Maghreb-Europe Gas Pipeline,,Europe-Maghreb Pipeline (EMPL),Sonatrach; Government of Morocco; Enag�s; SaskEnergy,Operating,1996,,,,12,bcm/y,12,1620,1193.151832,1620,,,,Hassi R'Mel,,Laghouat,Middle East and North Africa,Cordoba,,Andaluc�a,Europe,,,"LINESTRING(3.2514804 32.9358193, -0.3197216 33.3306283, -1.6638716 34.1020293, -3.8063346 34.1247633, -4.0521966 34.0974733, -5.8496215 35.7601872, -6.0776305 36.2445712, -5.9403875 37.0291612, -5.0995865 37.5288812)"
P0457,Gas,Iran,Spain,"Iran, Turkey, Greece, Italy, Switzerland, Austria, Germany, France, Spain",https://www.gem.wiki/Persian_Gas_Pipeline,Persian Gas Pipeline,,"IGAT 9, Pars Pipeline, Iran�Europe pipeline, Iran�Turkey-Europe (ITE) pipeline",Ministry of Petroleum of Iran (100%),Cancelled,,,,,40,bcm/y,40,3300,7436.484603,3300,,,South Pars gas field,Asaluyeh,,,Middle East and North Africa,,,,Europe,,,"MULTILINESTRING((52.5921744 27.4730154, 44.3716275 39.3906982, 27.1488015 41.3715122, 23.0728305 41.0243171, 20.2932465 39.4985911, 12.4489655 41.8315641, 8.7245575 44.9597971, 8.2081575 46.9454352, 14.3384855 47.4530251, 8.7464015 50.1301282), (8.7245575 44.9597971, 2.9514455 46.1739351, -4.4973275 39.5144232))"
P0458,Gas,Qatar,Bulgaria,"Qatar, Saudi Arabia, Jordan, Syria, Turkey, Bulgaria",https://www.gem.wiki/Qatar-Turkey_Gas_Pipeline,Qatar-Turkey Gas Pipeline,,,--,Cancelled,,,,,,,--,--,3075.298724,3075.298724,,,South Pars/North Dome field,,,,Middle East and North Africa,"Nabucco pipeline, Ahiboz",,,Europe,,,"LINESTRING(51.1990013 24.9785004, 38.1141014 32.2424011, 37.3937988 37.4838982, 27.2201004 41.4664993)"
P0459,Gas,Iran,Turkey,"Iran, Turkey",https://www.gem.wiki/Tabriz-Ankara_Pipeline,Tabriz-Ankara Gas Pipeline,,Iran-Turkey Gas pipeline,Iranian Ministry of Petroleum; BOTA?,Operating,2001,,,,14,bcm/y,14,2577,1202.481013,2577,"40, 46",in,,Tabriz,,,Middle East and North Africa,Ankara,,,Europe,,,"LINESTRING(46.2864625 38.0689321, 41.2566045 39.9076631, 32.8165825 39.9346332)"
P0463,Gas,Nigeria,Spain,"Nigeria, Benin, Togo, Ghana, C�te d'Ivoire, Liberia, Sierra Leone, Guinea, Guinea-Bissau, The Gambia, Senegal, Mauritania, Morocco, Spain",https://www.gem.wiki/Nigeria-Morocco_Gas_Pipeline,Nigeria-Morocco Gas Pipeline,,"Atlantic Gas Pipeline, Coastal Gas Pipeline",Nigerian National Petroleum Corporation; Moroccan National Board of Hydrocarbons and Mines,Proposed,2046,,,,,,--,5660,8704.37995,5660,,,Warri,Lagos,,,Sub-Saharan Africa,Tangiers,,,Europe,,,"MULTILINESTRING((-6.2764995 36.5825802, -7.7733435 36.7544192, -7.6184565 36.1002892, -15.8427586 28.4567624, -18.4355746 21.1230877, -19.0771116 18.6021578, -18.6227606 14.7564571, -18.5008326 13.4565761, -17.2033676 10.8361743, -15.2851746 8.8228254, -14.4068046 7.5101085, -11.7745006 4.6700817, -4.0005956 3.4427198, -1.1826466 3.8703138, 0.3523534 4.0377167, 0.9771144 4.1062068, 1.3203944 4.3253387, 2.8415444 4.4912197, 2.9991544 4.3000677), (0.3523534 4.0377167, -0.0215196 5.6605546), (1.3203944 4.3253387, 1.2078384 6.1611406), (2.8415444 4.4912197, 2.4017534 6.3613786), (2.9991544 4.3000677, 3.3665154 6.4687975), (-4.0005956 3.4427198, -4.0335976 5.3486287), (-11.7745006 4.6700817, -10.7912676 6.2885736), (-14.4068046 7.5101085, -12.9786256 8.6847804), (-15.2851746 8.8228254, -13.6008026 9.6336664), (-17.2033676 10.8361743, -15.2379796 11.2243723), (-18.5008326 13.4565761, -16.6057346 13.4672601), (-18.6227606 14.7564571, -17.4884656 14.729895), (-19.0771116 18.6021578, -15.8515886 18.1016359), (-7.6184565 36.1002892, -5.8579405 35.7711602))"
P0473,Gas,Cyprus,Egypt,"Cyprus, Egypt",https://www.gem.wiki/Cyprus-Egypt_gas_pipeline,Cyprus-Egypt Gas Pipeline,,,Shell plc (35%); Noble Energy (35%); Delek Group (30%),Proposed,2024,,,,8,bcm/y,8,--,214.5766096,214.5766096,,,,Aphrodite offshore gas field,,,Europe,Damietta Segas LNG Terminal,,Damietta,Middle East and North Africa,Pre-FID,,"LINESTRING(32.9833 33.0944, 31.7473 31.469)"
P0479,Gas,Israel,Cyprus,"Israel, Cyprus",https://www.gem.wiki/Israel_Cyprus_Gas_Pipeline,Israel Cyprus Gas Pipeline,,,Energean E&P Holdings Limited (100%),Proposed,2022,,,,1,bcm/y,1,215,212.840017,215,12,in,Karish and Tanin Gas Fields,,,,Middle East and North Africa,Energean Power FPSO,Vassiliko,,Europe,Pre-FID,,"LINESTRING(34.29286 33.226556, 34.1631357 33.270569, 33.6743530 33.504536, 33.1902034 34.398708, 33.2180014 34.746183)"
P0681,Gas,Romania,Hungary,"Romania, Hungary",https://www.gem.wiki/Arad%E2%80%93Szeged_Gas_Pipeline,Arad-Szeged Gas Pipeline,,,MOL Group; Government of Romania,Operating,2010,,,,4.5,bcm/y,4.5,109,90.048823,109,,,,Arad,,,Europe,Szeged,,,Europe,,,"LINESTRING(21.2956695 46.1853991, 20.1332065 46.2578691)"
P0682,Gas,Netherlands,United Kingdom,"Netherlands, United Kingdom",https://www.gem.wiki/Balgzand_Bacton_Line_(BBL)_Gas_Pipeline,Balgzand�Bacton Line Gas Pipeline,,BBL,N.V. Nederlandse Gasunie (60%); Uniper (20%); Fluxys BBL B.V (20%),Operating,2006,,,,16,bcm/y,16,231.8,229.3479441,231.8,,,,Anna Paulowna,,North Holland,Europe,Bacton Gas Terminal,,Norfolk,Europe,,,"LINESTRING(4.702058 52.880837, 4.672357 52.881558, 4.657569 52.882393, 4.642944 52.88395, 4.628586 52.886259, 4.614646 52.889361, 4.601274 52.893273, 4.588376 52.897768, 4.548446 52.909775, 4.482156 52.93012, 4.442122 52.942038, 4.362435 52.966386, 4.348883 52.970089, 4.334488 52.972352, 4.319844 52.973976, 4.217218 52.98502, 4.129167 52.994255, 4.114526 52.995927, 4.026442 53.005133, 4.011705 53.006427, 3.99681 53.006591, 3.773494 53.001017, 3.550236 52.994958, 3.5056 52.993631, 3.490946 52.992086, 3.290185 52.958184, 3.189942 52.941048, 3.175713 52.938418, 3.147022 52.933674, 3.061161 52.918956, 2.832543 52.879284, 2.718413 52.859231, 2.704106 52.856832, 2.689898 52.854204, 2.604367 52.839129, 2.590844 52.835462, 2.579057 52.830023, 2.569453 52.823193, 2.562623 52.815232, 2.557599 52.806777, 2.551066 52.798723, 2.541673 52.791788, 2.530121 52.786174, 2.516726 52.782354, 2.502371 52.78013, 2.270341 52.75054, 2.255572 52.750053, 2.107433 52.750044, 2.092792 52.751307, 2.078837 52.754268, 2.066113 52.758836, 2.055159 52.764869, 2.017097 52.79244, 2.006349 52.798615, 1.993808 52.80339, 1.979961 52.806588, 1.965392 52.808276, 1.848455 52.820584, 1.614386 52.844798, 1.600017 52.846987, 1.515949 52.864856, 1.507528 52.866267, 1.501442 52.866543, 1.494068 52.866081, 1.486993 52.864741, 1.469581 52.859366)"
P0683,Gas,Germany,Denmark,"Germany, Sweden, Denmark",https://www.gem.wiki/Baltic_Gas_Interconnector,Baltic Gas Interconnector,,,�rsted; Hovedstadsregionens Naturgas; EnBW; E.ON; G�teborgs Stadshus AB; Lunds Energi; Helsingborg Energi Holding,Cancelled,,,,,,,--,--,178.5990783,178.5990783,,,,Rostock,,Mecklenburg-Vorpommern,Europe,Trelleborg,,Scania,Europe,,,"LINESTRING(12.0906885 54.0969064, 12.5465785 55.6795944)"
P0684,Gas,Norway,Poland,"Norway, Denmark, Sweden, Poland",https://www.gem.wiki/Baltic_Pipe_Project,Baltic Pipe Project,,Poland Denmark Interconnection Gas Pipeline,Energinet; Gaz-System,Construction,2022,,,,10,bcm/y,10,612.5,612.642406,612.5,,,Europipe II Gas Pipeline,,,,Europe,Ploty,,,Europe,FID,,"MULTILINESTRING((15.2599 53.8, 15.2664 53.805, 15.0706 54.089, 15.0367 54.397, 14.9982 54.536, 14.9923 54.654, 14.9893 54.788, 15.0012 54.898, 14.9568 54.959, 14.8532 55, 14.6876 55.026, 14.5219 55.032, 14.3071 55.074, 13.9342 55.122, 13.7104 55.141, 13.5026 55.15, 13.1296 55.165, 12.8792 55.162, 12.8206 55.156, 12.482 55.206, 12.326 55.187, 12.119 55.189, 11.8521 55.247, 11.7621 55.244, 11.6631 55.259, 11.5131 55.302, 11.4051 55.356, 11.2102 55.389), (10.7951 55.287, 10.7444 55.305, 10.6836 55.31, 10.6472 55.31, 10.6046 55.308, 10.5681 55.324, 10.5418 55.326, 10.5357 55.329, 10.5236 55.347, 10.5175 55.363, 10.5033 55.37, 10.4688 55.374, 10.4688 55.355, 10.4405 55.331, 10.3756 55.337, 10.3189 55.343, 10.2763 55.398, 10.0291 55.462, 9.796 55.515, 9.7264 55.537, 9.6652 55.557, 9.5555 55.592, 9.4838 55.599, 9.4501 55.604, 9.3108 55.617), (8.4073 55.745, 8.1789 55.777, 6.5195 55.712, 6.5038 55.71))"
P0685,Gas,Finland,Estonia,"Finland, Estonia",https://www.gem.wiki/Balticconnector_Gas_Pipeline,Balticconnector Gas Pipeline,,,Elering; Baltic Connector Oy,Operating,2020,,,,7.2,bcm/y,7.2,155,132.7486072,155,,,,Siuntio,,Southern Finland,Europe,Kiili,,Harju,Europe,,,"LINESTRING(24.83 59.31, 24.766 59.3071, 24.66 59.3121, 24.556 59.3178, 24.453 59.3203, 24.348 59.3235, 24.246 59.3489, 24.193 59.4912, 24.171 59.5354, 24.152 59.5834, 24.125 59.6334, 24.068 59.6872, 24.048 59.7795, 24.05 59.8237, 24.102 59.8679, 24.066 59.9179, 24 59.9598, 23.969 60.0235, 24.23 60.138)"
P0686,Gas,United Kingdom,United Kingdom,United Kingdom,https://www.gem.wiki/Central_Area_Transmission_System,Central Area Transmission System (CATS) Gas Pipeline,,CATS,Antin Infrastructure Partners (99%); Eni S.p.A. (.34%); ConocoPhillips (.66%),Operating,1993,,,,1.7,bcm/y,1.7,404,404.7727184,404,914,mm,,CATS Riser Platform,,Central North Sea,Europe,Teesside,,North East United Kingdom,Europe,,,"LINESTRING(-1.104584 54.6246, -1.03775 54.640753, -1.013808 54.646683, -1.005481 54.648567, -0.995311 54.651214, -0.988178 54.65355, -0.980228 54.656756, -0.975342 54.659422, -0.97175 54.66162, -0.968 54.664306, -0.964586 54.667131, -0.959017 54.672236, -0.955144 54.676417, -0.95365 54.678394, -0.952858 54.679608, -0.950317 54.684572, -0.949269 54.687531, -0.948733 54.689664, -0.948258 54.692672, -0.948103 54.694822, -0.948378 54.708195, -0.948078 54.712081, -0.947967 54.724156, -0.948069 54.724586, -0.947942 54.725881, -0.947925 54.732786, -0.948153 54.73925, -0.948003 54.743564, -0.947944 54.772356, -0.947742 54.778608, -0.947883 54.779472, -0.947831 54.78152, -0.947622 54.783245, -0.947092 54.785272, -0.946489 54.787011, -0.944917 54.790292, -0.943078 54.792997, -0.939205 54.797061, -0.936742 54.799086, -0.933067 54.801664, -0.929414 54.803672, -0.926408 54.804958, -0.917992 54.809061, -0.908689 54.813222, -0.887836 54.823019, -0.868478 54.831833, -0.857125 54.837261, -0.847147 54.841644, -0.841486 54.844467, -0.816833 54.855689, -0.809261 54.859703, -0.803258 54.863545, -0.801108 54.86515, -0.798097 54.867906, -0.789586 54.874739, -0.774953 54.886864, -0.771025 54.889889, -0.763894 54.896092, -0.759089 54.899847, -0.754158 54.904008, -0.746836 54.910656, -0.731547 54.925114, -0.711203 54.943861, -0.7064 54.948492, -0.70432 54.950289, -0.679489 54.973531, -0.674569 54.9776, -0.671361 54.980906, -0.66755 54.984333, -0.661467 54.990175, -0.658392 54.993894, -0.656328 54.9957, -0.652783 54.998375, -0.650125 55.000722, -0.646392 55.004336, -0.635369 55.014369, -0.630819 55.018708, -0.627914 55.021181, -0.618333 55.030256, -0.614061 55.034058, -0.592856 55.054042, -0.558878 55.085083, -0.552322 55.091128, -0.549322 55.09412, -0.543717 55.099047, -0.534467 55.107747, -0.527414 55.114122, -0.525622 55.116039, -0.521983 55.119195, -0.516497 55.123567, -0.511147 55.128381, -0.508872 55.130997, -0.505631 55.134272, -0.500753 55.138633, -0.483825 55.154442, -0.462464 55.173889, -0.460992 55.175397, -0.454964 55.180742, -0.446244 55.188922, -0.439047 55.195264, -0.436472 55.197908, -0.426536 55.206942, -0.420917 55.212308, -0.41528 55.217286, -0.401514 55.230045, -0.395414 55.235364, -0.390856 55.239717, -0.385672 55.244225, -0.376203 55.253175, -0.368092 55.260325, -0.355353 55.272183, -0.34915 55.277594, -0.339097 55.286856, -0.333533 55.292242, -0.329905 55.295278, -0.329228 55.29605, -0.327764 55.297053, -0.327544 55.297489, -0.325244 55.299717, -0.317233 55.306778, -0.303206 55.319708, -0.299531 55.322847, -0.297358 55.324997, -0.287689 55.333631, -0.282453 55.338631, -0.275655 55.344608, -0.274967 55.345378, -0.273611 55.34642, -0.267525 55.352156, -0.263761 55.355389, -0.261089 55.358003, -0.255833 55.362742, -0.254486 55.363789, -0.252594 55.365661, -0.248044 55.369506, -0.242264 55.374903, -0.237472 55.379128, -0.23565 55.380986, -0.232667 55.383486, -0.232403 55.383903, -0.231856 55.38422, -0.231219 55.385006, -0.221753 55.39385, -0.218703 55.396322, -0.211742 55.402622, -0.207939 55.405845, -0.182175 55.429361, -0.174481 55.436161, -0.170033 55.440689, -0.165808 55.444272, -0.163178 55.446858, -0.147142 55.46117, -0.144214 55.464069, -0.143711 55.464272, -0.138636 55.468695, -0.13665 55.470533, -0.136419 55.470961, -0.135878 55.471283, -0.132444 55.474511, -0.128653 55.477747, -0.127161 55.479247, -0.123892 55.482028, -0.121197 55.484631, -0.106147 55.497983, -0.097467 55.505836, -0.096833 55.506628, -0.096347 55.506839, -0.092478 55.510297, -0.089858 55.512803, -0.089742 55.51315, -0.089186 55.513328, -0.085978 55.516136, -0.085697 55.516544, -0.083672 55.518236, -0.074156 55.527194, -0.069956 55.530794, -0.069814 55.531133, -0.068808 55.531786, -0.064497 55.535817, -0.052664 55.546114, -0.045944 55.552167, -0.042469 55.555506, -0.030158 55.566286, -0.022389 55.573672, -0.009605 55.584689, -0.004633 55.589408, 0.000214 55.593544, 0.004925 55.597981, 0.013103 55.605006, 0.019972 55.61152, 0.034781 55.624417, 0.042936 55.631967, 0.051925 55.639781, 0.053792 55.6416, 0.053981 55.642036, 0.054508 55.642236, 0.058975 55.646128, 0.062408 55.649347, 0.068969 55.655053, 0.070517 55.656542, 0.070769 55.656958, 0.073075 55.658692, 0.080058 55.664867, 0.084253 55.668856, 0.085814 55.670214, 0.086389 55.670511, 0.087261 55.67172, 0.089772 55.673644, 0.093136 55.676522, 0.095444 55.678756, 0.102108 55.684411, 0.110036 55.691783, 0.119311 55.699831, 0.137239 55.715889, 0.154053 55.730672, 0.162069 55.738, 0.178375 55.752275, 0.19232 55.764842, 0.200106 55.771639, 0.205664 55.775606, 0.207853 55.777389, 0.210164 55.779628, 0.214081 55.782822, 0.220114 55.789317, 0.22545 55.793925, 0.245369 55.811772, 0.249972 55.815675, 0.261783 55.826275, 0.265258 55.829117, 0.27082 55.834275, 0.274267 55.837139, 0.286617 55.848172, 0.316803 55.874558, 0.320364 55.877856, 0.324461 55.881278, 0.331869 55.887956, 0.336472 55.891808, 0.339514 55.894681, 0.346572 55.900719, 0.351353 55.905144, 0.362736 55.915008, 0.364014 55.916425, 0.36657 55.918336, 0.414931 55.960895, 0.421583 55.966572, 0.423911 55.968814, 0.424433 55.969072, 0.427611 55.971964, 0.429881 55.973708, 0.443917 55.986214, 0.504153 56.0386, 0.515031 56.048272, 0.532108 56.062886, 0.535608 56.066117, 0.556481 56.084378, 0.557794 56.085314, 0.566695 56.092883, 0.576897 56.101781, 0.582811 56.107164, 0.58917 56.112492, 0.599336 56.121522, 0.609631 56.130389, 0.622325 56.141086, 0.630822 56.148681, 0.634953 56.151656, 0.635294 56.152058, 0.636875 56.153008, 0.640656 56.155739, 0.648981 56.162486, 0.650928 56.164353, 0.659231 56.171297, 0.662944 56.174911, 0.666855 56.179481, 0.66837 56.180986, 0.699639 56.208103, 0.728911 56.233122, 0.736272 56.239583, 0.751408 56.25237, 0.766392 56.265592, 0.771958 56.270133, 0.782539 56.27942, 0.784731 56.281072, 0.784897 56.281547, 0.786681 56.282811, 0.789686 56.285322, 0.797461 56.292158, 0.825656 56.316047, 0.839033 56.327794, 0.863264 56.348519, 0.910564 56.388636, 0.911494 56.389689, 0.912753 56.390489, 0.938097 56.412022, 0.969847 56.439256, 0.997633 56.462589, 1.011892 56.474775, 1.019747 56.481244, 1.020683 56.482283, 1.022844 56.484172, 1.029589 56.489775, 1.039025 56.497964, 1.047636 56.505025, 1.057239 56.513278, 1.079825 56.532161, 1.09628 56.546308, 1.102386 56.551186, 1.111414 56.557544, 1.116997 56.562225, 1.119636 56.564747, 1.123978 56.569322, 1.130767 56.575369, 1.135597 56.579164, 1.14203 56.584833, 1.166539 56.605483, 1.17122 56.609206, 1.180567 56.617303, 1.181542 56.617975, 1.19085 56.625825, 1.19465 56.629592, 1.198403 56.634325, 1.200433 56.637922, 1.201653 56.640822, 1.202431 56.6433, 1.203008 56.645864, 1.203422 56.652211, 1.203311 56.717539, 1.203378 56.723036, 1.203494 56.723467, 1.203383 56.750089, 1.203631 56.750417, 1.203383 56.750736, 1.203406 56.75785, 1.203567 56.766692, 1.203478 56.768386, 1.203681 56.773892, 1.203486 56.776069, 1.20367 56.776497, 1.203372 56.79935, 1.203561 56.808297, 1.203422 56.822847, 1.203622 56.830075, 1.203442 56.830936, 1.203417 56.832661, 1.203483 56.858639, 1.203328 56.870928, 1.203472 56.892556, 1.203408 56.895075, 1.203214 56.895506, 1.203467 56.895825, 1.203342 56.911239, 1.203533 56.915333, 1.203542 56.922558, 1.203408 56.930214, 1.2036 56.933231, 1.203658 56.944661, 1.203517 56.950586, 1.203686 56.956353, 1.203586 56.968908, 1.20372 56.979778, 1.203439 56.995961, 1.203733 56.998447, 1.203675 57.002222, 1.203803 57.004697, 1.20357 57.008897, 1.203808 57.017633, 1.203656 57.022586, 1.203842 57.024203, 1.203522 57.035095, 1.203722 57.041453, 1.204328 57.045308, 1.205356 57.048592, 1.207306 57.052981, 1.210255 57.057206, 1.243864 57.097667, 1.245989 57.100458, 1.251092 57.1063, 1.263553 57.12145, 1.268208 57.126775, 1.272628 57.132231, 1.279136 57.139861, 1.284736 57.146764, 1.292708 57.156158, 1.299656 57.164747, 1.31015 57.17707, 1.318033 57.186614, 1.320058 57.188836, 1.332636 57.204203, 1.337278 57.209447, 1.3421 57.215369, 1.347444 57.221511, 1.349475 57.2242, 1.360953 57.237592, 1.372725 57.251858, 1.419478 57.307364, 1.453036 57.346942, 1.4564 57.350708, 1.4603 57.355458, 1.465725 57.361583, 1.476789 57.374847, 1.491558 57.392058, 1.506258 57.409525, 1.507719 57.411067, 1.523539 57.429911, 1.544275 57.45407, 1.550503 57.461428, 1.551 57.46235, 1.552475 57.463697, 1.573792 57.488633, 1.579489 57.495647, 1.58105 57.497986, 1.5831 57.502036, 1.58385 57.504056, 1.58455 57.506614, 1.593414 57.556831, 1.593995 57.559936, 1.594225 57.560308, 1.594036 57.560897, 1.594494 57.5624, 1.598953 57.588267, 1.599639 57.59115, 1.600761 57.594433, 1.602556 57.598067, 1.607675 57.605775, 1.629314 57.637219, 1.634458 57.644931, 1.638417 57.650464, 1.640406 57.653636, 1.646047 57.661314, 1.648094 57.663586, 1.651183 57.666606, 1.656975 57.671008, 1.682006 57.685895, 1.698964 57.695775, 1.707128 57.700756, 1.774861 57.740483, 1.777908 57.742486, 1.782661 57.746458, 1.784825 57.748047, 1.790664 57.751308, 1.799533 57.755372, 1.801795 57.756708, 1.802578 57.75695, 1.802814 57.757653, 1.803328 57.758069)"
P0687,Gas,Estonia,Latvia,"Estonia, Latvia",https://www.gem.wiki/Estonia%E2%80%93Latvia_Interconnection_(Vire%C5%A1i%E2%80%93Tallinn_pipeline),Estonia-Latvia Interconnection Gas Pipeline,,Vire�i�Tallinn pipeline,EG V�rguteenus; Gazprom; Marguerite Fund; Fortum; Rosneft,Operating,1992,,,,2.5,bcm/y,2.5,280.4,314.3462805,280.4,,,,Tallinn,,Harju County,Europe,Vire�i,,,Europe,,,"MULTILINESTRING((25.6 57.33, 25.58 57.53), (25.58 57.53, 25.6293386 58.1002085), (25.6293 58.1002, 25.5522 58.2098, 25.5471 58.3075, 25.422 58.354), (25.422 58.354, 25.3718 58.3713, 25.3354 58.4355, 25.3086 58.5083, 25.3115 58.5552, 25.3172 58.5926, 25.3172 58.6146, 25.3057 58.6232, 25.2875 58.6242, 25.2578 58.6204, 25.2291 58.6185, 25.1965 58.6156, 25.1687 58.6137, 25.1361 58.6137, 25.1074 58.6146, 25.0729 58.6261, 25.035 58.656, 25.0033 58.6473, 24.9506 58.6229, 24.9272 58.6219, 24.9048 58.5991, 24.8899 58.5971, 24.8804 58.5732, 24.8754 58.5692, 24.8708 58.5629, 24.8634 58.5581, 24.8505 58.5503, 24.8425 58.5418, 24.8366 58.5375, 24.8338 58.5339, 24.8157 58.5139, 24.8119 58.5114, 24.8073 58.5087, 24.8012 58.5071, 24.7957 58.5044, 24.7908 58.5029, 24.7837 58.501, 24.7699 58.4956, 24.7053 58.4652, 24.6717 58.4249, 24.6674 58.4227, 24.6547 58.4173, 24.6461 58.4137, 24.6364 58.4065, 24.6283 58.3973, 24.6245 58.3949, 24.6084 58.3889, 24.5326 58.3869, 24.5309 58.388, 24.5267 58.389, 24.5229 58.3897, 24.5177 58.391, 24.5132 58.3914, 24.5081 58.392, 24.5056 58.3921, 24.5014 58.3918, 24.5 58.391), (25.035 58.656, 25.0326 58.684, 25.0178 58.7184, 24.9777 58.7641, 24.9309 58.7801, 24.908 58.7916, 24.8931 58.8087, 24.8691 58.8464, 24.8645 58.8956, 24.8634 58.9482, 24.8291 58.9803, 24.8 59.001), (24.8 59.001, 24.7874 59.1083, 24.7607 59.1654, 24.7474 59.2676, 24.7467 59.2921, 24.7948 59.3424, 24.817 59.3565, 25.0015 59.3684, 25.0045 59.406))"
